"member_casual","Date","month","rideable_type","total_rides","Year"
"casual",27,"April","electric_bike",2251,2021
"casual",28,"April","classic_bike",807,2021
"casual",28,"April","docked_bike",180,2021
"casual",28,"April","electric_bike",715,2021
"casual",29,"April","classic_bike",1579,2021
"casual",29,"April","docked_bike",326,2021
"casual",29,"April","electric_bike",1192,2021
"casual",30,"April","classic_bike",2398,2021
"casual",30,"April","docked_bike",668,2021
"casual",30,"April","electric_bike",1634,2021
"member",1,"April","classic_bike",2629,2021
"member",1,"April","electric_bike",1450,2021
"member",2,"April","classic_bike",3949,2021
"member",2,"April","electric_bike",1780,2021
"member",3,"April","classic_bike",6422,2021
"member",3,"April","electric_bike",2136,2021
"member",4,"April","classic_bike",5779,2021
"member",4,"April","electric_bike",1530,2021
"member",5,"April","classic_bike",5218,2021
"member",5,"April","electric_bike",1666,2021
"member",6,"April","classic_bike",7277,2021
"member",6,"April","electric_bike",2275,2021
"member",7,"April","classic_bike",6980,2021
"member",7,"April","electric_bike",2207,2021
"member",8,"April","classic_bike",2671,2021
"member",8,"April","electric_bike",1209,2021
"member",9,"April","classic_bike",5372,2021
"member",9,"April","electric_bike",1967,2021
"member",10,"April","classic_bike",2293,2021
"member",10,"April","electric_bike",970,2021
"member",11,"April","classic_bike",4304,2021
"member",11,"April","electric_bike",1578,2021
"member",12,"April","classic_bike",5349,2021
"member",12,"April","electric_bike",1908,2021
"member",13,"April","classic_bike",5044,2021
"member",13,"April","electric_bike",2039,2021
"member",14,"April","classic_bike",4176,2021
"member",14,"April","electric_bike",1919,2021
"member",15,"April","classic_bike",4235,2021
"member",15,"April","electric_bike",1940,2021
"member",16,"April","classic_bike",4900,2021
"member",16,"April","electric_bike",2098,2021
"member",17,"April","classic_bike",5038,2021
"member",17,"April","electric_bike",2095,2021
"member",18,"April","classic_bike",4981,2021
"member",18,"April","electric_bike",1899,2021
"member",19,"April","classic_bike",3417,2021
"member",19,"April","electric_bike",1552,2021
"member",20,"April","classic_bike",3343,2021
"member",20,"April","electric_bike",1540,2021
"member",21,"April","classic_bike",3359,2021
"member",21,"April","electric_bike",1603,2021
"member",22,"April","classic_bike",4994,2021
"member",22,"April","electric_bike",2186,2021
"member",23,"April","classic_bike",5699,2021
"member",23,"April","electric_bike",2417,2021
"member",24,"April","classic_bike",5494,2021
"member",24,"April","electric_bike",2209,2021
"member",25,"April","classic_bike",3651,2021
"member",25,"April","electric_bike",1435,2021
"member",26,"April","classic_bike",6310,2021
"member",26,"April","electric_bike",2311,2021
"member",27,"April","classic_bike",7639,2021
"member",27,"April","electric_bike",2692,2021
"member",28,"April","classic_bike",3426,2021
"member",28,"April","electric_bike",1684,2021
"member",29,"April","classic_bike",4666,2021
"member",29,"April","electric_bike",2106,2021
"member",30,"April","classic_bike",5228,2021
"member",30,"April","electric_bike",2385,2021
"casual",1,"May","classic_bike",8042,2021
"casual",1,"May","docked_bike",2938,2021
"casual",1,"May","electric_bike",3203,2021
"casual",2,"May","classic_bike",8534,2021
"casual",2,"May","docked_bike",3293,2021
"casual",2,"May","electric_bike",3114,2021
"casual",3,"May","classic_bike",1898,2021
"casual",3,"May","docked_bike",496,2021
"casual",3,"May","electric_bike",1114,2021
"casual",4,"May","classic_bike",1326,2021
"casual",4,"May","docked_bike",289,2021
"casual",4,"May","electric_bike",1107,2021
"casual",5,"May","classic_bike",2034,2021
"casual",5,"May","docked_bike",495,2021
"casual",5,"May","electric_bike",1654,2021
"casual",6,"May","classic_bike",1343,2021
"casual",6,"May","docked_bike",300,2021
"casual",6,"May","electric_bike",1465,2021
"casual",7,"May","classic_bike",2452,2021
"casual",7,"May","docked_bike",708,2021
"casual",7,"May","electric_bike",2272,2021
"casual",8,"May","classic_bike",3836,2021
"casual",8,"May","docked_bike",1157,2021
"casual",8,"May","electric_bike",2724,2021
"casual",9,"May","classic_bike",1439,2021
"casual",9,"May","docked_bike",399,2021
"casual",9,"May","electric_bike",1321,2021
"casual",10,"May","classic_bike",1339,2021
"casual",10,"May","docked_bike",362,2021
"casual",10,"May","electric_bike",1274,2021
"casual",11,"May","classic_bike",1564,2021
"casual",11,"May","docked_bike",412,2021
"casual",11,"May","electric_bike",1554,2021
"casual",12,"May","classic_bike",2032,2021
"casual",12,"May","docked_bike",543,2021
"casual",12,"May","electric_bike",1947,2021
"casual",13,"May","classic_bike",2876,2021
"casual",13,"May","docked_bike",970,2021
"casual",13,"May","electric_bike",2761,2021
"casual",14,"May","classic_bike",4230,2021
"casual",14,"May","docked_bike",1533,2021
"casual",14,"May","electric_bike",3978,2021
"casual",15,"May","classic_bike",3761,2021
"casual",15,"May","docked_bike",1522,2021
"casual",15,"May","electric_bike",3183,2021
"casual",16,"May","classic_bike",6579,2021
"casual",16,"May","docked_bike",2644,2021
"casual",16,"May","electric_bike",4562,2021
"casual",17,"May","classic_bike",2568,2021
"casual",17,"May","docked_bike",1053,2021
"casual",17,"May","electric_bike",2365,2021
"casual",18,"May","classic_bike",1911,2021
"casual",18,"May","docked_bike",695,2021
"casual",18,"May","electric_bike",1994,2021
"casual",19,"May","classic_bike",2587,2021
"casual",19,"May","docked_bike",700,2021
"casual",19,"May","electric_bike",2645,2021
"casual",20,"May","classic_bike",4244,2021
"casual",20,"May","docked_bike",1430,2021
"casual",20,"May","electric_bike",3426,2021
"casual",21,"May","classic_bike",5840,2021
"casual",21,"May","docked_bike",2241,2021
"casual",21,"May","electric_bike",4594,2021
"casual",22,"May","classic_bike",11816,2021
"casual",22,"May","docked_bike",4168,2021
"casual",22,"May","electric_bike",6105,2021
"casual",23,"May","classic_bike",6215,2021
"casual",23,"May","docked_bike",2431,2021
"casual",23,"May","electric_bike",3922,2021
"casual",24,"May","classic_bike",3884,2021
"casual",24,"May","docked_bike",1670,2021
"casual",24,"May","electric_bike",3365,2021
"casual",25,"May","classic_bike",3435,2021
"casual",25,"May","docked_bike",1057,2021
"casual",25,"May","electric_bike",3249,2021
"casual",26,"May","classic_bike",4157,2021
"casual",26,"May","docked_bike",1126,2021
"casual",26,"May","electric_bike",3243,2021
"casual",27,"May","classic_bike",1755,2021
"casual",27,"May","docked_bike",354,2021
"casual",27,"May","electric_bike",1922,2021
"casual",28,"May","classic_bike",1022,2021
"casual",28,"May","docked_bike",224,2021
"casual",28,"May","electric_bike",1335,2021
