"Day","month","member_casual","rideable_type","mean_count","Year"
"Sun","February","casual","docked_bike",100,2022
"Sun","February","casual","electric_bike",520,2022
"Sun","February","member","classic_bike",1595,2022
"Sun","February","member","electric_bike",1326,2022
"Mon","February","casual","classic_bike",428,2022
"Mon","February","casual","docked_bike",72,2022
"Mon","February","casual","electric_bike",602,2022
"Mon","February","member","classic_bike",2596,2022
"Mon","February","member","electric_bike",1998,2022
"Tue","February","casual","classic_bike",247,2022
"Tue","February","casual","docked_bike",38,2022
"Tue","February","casual","electric_bike",411,2022
"Tue","February","member","classic_bike",2236,2022
"Tue","February","member","electric_bike",1829,2022
"Wed","February","casual","classic_bike",236,2022
"Wed","February","casual","docked_bike",28,2022
"Wed","February","casual","electric_bike",392,2022
"Wed","February","member","classic_bike",1982,2022
"Wed","February","member","electric_bike",1670,2022
"Thu","February","casual","classic_bike",172,2022
"Thu","February","casual","docked_bike",17,2022
"Thu","February","casual","electric_bike",280,2022
"Thu","February","member","classic_bike",1547,2022
"Thu","February","member","electric_bike",1362,2022
"Fri","February","casual","classic_bike",248,2022
"Fri","February","casual","docked_bike",33,2022
"Fri","February","casual","electric_bike",394,2022
"Fri","February","member","classic_bike",1577,2022
"Fri","February","member","electric_bike",1413,2022
"Sat","February","casual","classic_bike",266,2022
"Sat","February","casual","docked_bike",52,2022
"Sat","February","casual","electric_bike",388,2022
"Sat","February","member","classic_bike",1294,2022
"Sat","February","member","electric_bike",1123,2022
"Sun","March","casual","classic_bike",1674,2022
"Sun","March","casual","docked_bike",492,2022
"Sun","March","casual","electric_bike",1978,2022
"Sun","March","member","classic_bike",2850,2022
"Sun","March","member","electric_bike",2667,2022
"Mon","March","casual","classic_bike",1421,2022
"Mon","March","casual","docked_bike",392,2022
"Mon","March","casual","electric_bike",1799,2022
"Mon","March","member","classic_bike",3872,2022
"Mon","March","member","electric_bike",3490,2022
"Tue","March","casual","classic_bike",685,2022
"Tue","March","casual","docked_bike",149,2022
"Tue","March","casual","electric_bike",1196,2022
"Tue","March","member","classic_bike",3515,2022
"Tue","March","member","electric_bike",3366,2022
"Wed","March","casual","classic_bike",1110,2022
"Wed","March","casual","docked_bike",241,2022
"Wed","March","casual","electric_bike",1557,2022
"Wed","March","member","classic_bike",3749,2022
"Wed","March","member","electric_bike",3442,2022
"Thu","March","casual","classic_bike",872,2022
"Thu","March","casual","docked_bike",179,2022
"Thu","March","casual","electric_bike",1354,2022
"Thu","March","member","classic_bike",3175,2022
"Thu","March","member","electric_bike",3253,2022
"Fri","March","casual","classic_bike",596,2022
"Fri","March","casual","docked_bike",134,2022
"Fri","March","casual","electric_bike",1059,2022
"Fri","March","member","classic_bike",2416,2022
